((0, 75.3608, 16.7778, 164.728, 0, 88.1087, 61.775, 41.3774, 32.999, 87.9517, 196.285, 347.8), (2, 240), (0, 75.3378, 16.3369, 169.192, 0, 88.003, 61.8316, 41.9474, 32.4257, 87.7966, 195.073, 352.9), 6.9445062017775685) 
((0, 77.0147, 11.8201, 135.222, 0, 88.5352, 60.7643, 48.1605, 26.2294, 87.0503, 186.666, 27.76), (2, 240), (0, 77.2235, 11.5462, 142.326, 0, 88.6551, 60.6094, 48.5675, 25.8262, 87.2912, 186.437, 27.76), 6.429989063262104) 
((0, 79.6045, 8.76506, 158.334, 0, 89.9977, 58.8973, 52.8576, 21.5786, 85.8845, 181.228, 54.17), (2, 240), (0, 79.6754, 8.49704, 162.824, 0, 89.9623, 58.9003, 53.235, 21.2001, 86.0036, 180.988, 54.17), 5.817562671085252) 
((0, 79.6754, 8.49704, 162.824, 0, 89.9623, 58.9003, 53.235, 21.2001, 86.0036, 180.988, 54.17), (2, 240), (0, 79.7259, 8.22314, 165.353, 0, 89.903, 58.9268, 53.6144, 20.8188, 85.0775, 180.319, 61.72), 5.805582056581095) 
((0, 79.7259, 8.22314, 165.353, 0, 89.903, 58.9268, 53.6144, 20.8188, 85.0775, 180.319, 61.72), (2, 240), (0, 79.7744, 7.80313, 169.11, 0, 89.7809, 58.9996, 54.1876, 20.2417, 85.2058, 179.933, 61.72), 5.794099148858879) 
((0, 80.8539, 5.83643, 149.282, 0, 89.9578, 58.5681, 57.1436, 17.2913, 83.0815, 177.235, 77.42), (2, 240), (0, 81.0496, 5.43203, 159.958, 0, 89.9554, 58.5185, 57.7476, 16.6873, 82.1247, 176.665, 82.69), 5.56209641886562) 
((0, 81.5152, 4.4776, 153.123, 0, 89.9342, 58.4164, 59.1791, 15.2551, 81.5414, 175.649, 88.24), (2, 240), (0, 81.6609, 4.20459, 157.093, 0, 89.935, 58.3798, 59.5942, 14.84, 80.4974, 175.338, 94.31), -0.11535974987563691) 
((0, 81.8429, 3.78936, 158.054, 0, 89.895, 58.3666, 60.2125, 14.2204, 80.7685, 174.942, 94.31), (2, 240), (0, 81.9731, 3.5191, 159.089, 0, 89.8773, 58.3493, 60.6198, 13.8126, 79.7261, 174.726, 101.26), -3.2654962549383617) 
((0, 82.5673, 2.50277, 147.535, 0, 89.888, 58.2029, 62.1954, 12.2373, 79.3292, 173.889, 108.54), (2, 240), (0, 82.7497, 2.26415, 151.845, 0, 89.9255, 58.1319, 62.5834, 11.8505, 78.3074, 173.908, 113.32), -9.317080475994533) 
((0, 83.3967, 1.2142, 157.819, 0, 89.9252, 57.9898, 64.2375, 10.1964, 77.9392, 173.182, 118.16), (2, 240), (0, 83.5386, 0.935386, 161.504, 0, 89.8919, 57.9862, 64.6663, 9.76656, 76.9552, 173.287, 123.26), -15.731522496831811) 
